id,uuid
brussel-hoofdstad,5187085b-1a48-451b-9744-bfcf74c45c12
luik,286e7423-94a8-486a-b037-d1b00c7d7fbf
west-vlaanderen,932cbc86-a3b7-4574-bfbe-808a99a9aa1b
oost-vlaanderen,e8e51560-6030-47ba-aa0c-75cf85e6f9cc
waals-brabant,ff83572d-6b06-4363-a6c5-e2202b37fe72
vlaams-brabant,1241ba6f-fd42-46c7-accf-e5d48fd8a367
antwerpen,2779c785-95c4-4b50-8bd2-fd74e435df65
namen,41467d4b-517c-4aba-8051-02bc2582a6ce
henegouwen,570cb1b8-d741-446f-a574-3c5a77553a16
luxemburg,8a15807b-8c67-46f4-8589-d5b59c1aa8b7
limburg,20376078-e084-487e-b1e4-1c633cb87d9d
