name,id
Dasho Sherub Gyeltshen,f3d00891-1851-4e0e-a8f0-fb9001e848b6
Dechen Wangmo,9e032ffb-2711-4b76-9055-e4b546955a9d
Dorji Tshering,04c0bc2a-c0d9-473a-8272-540abdc561cc
Dr. Lotay Tshering,9e36cf48-6282-4cc7-a95e-62f4b87c2f0e
Dr. Pema Gyamtsho(Ph.D),bb67460e-9731-4744-a739-cc0b8d0c3113
Dr. Tandi Dorji,3b50cdba-681a-446f-8485-2f23de40f231
Drungtsho Karma Wangchuk,42ce8c19-d455-46bc-90f0-9bc4ecdf7459
Hemant Gurung,27ff96cc-2800-4b3f-87c8-064de35223a1
Jai Bir Rai,1a17f02f-c579-4fe9-a659-0895c66d1d18
Jurmi Wangchuk,f254180b-5e01-4c59-9ff9-97a1830da3fc
Karma Donnen Wangdi,cb7b3321-8028-4d0d-901f-c055a37cfb86
Kinga Tshering,602d0a26-eb66-484c-a27c-b9ba26860c66
Loknath Sharma,125ff350-f615-4b3a-b047-6b5e917f83ee
Namgay Tshering,e8a552df-360f-4224-b423-5ec5c801e462
Tenzin,f5676cb6-9c82-49f5-9bc7-91f03dd656e1
Tshencho Wangdi,89e52c2f-8249-4dfd-a5d6-094b65a20a64
Tshewang Lhamo,5e38adf4-a062-4a60-b2d0-6b55fc6778ab
Ugen Tenzin,3d5b3e08-393c-4bbe-8220-9065b093364d
Ugyen Dorji,178b4544-c1dc-4c23-86dd-63f8da995185
Wangchuk Namgay,4f18293d-3566-4d8a-bbc7-de88c4d58527
Yeshey Dem,8e8d2ac9-df7f-4d6f-b734-431019372cba
Yeshey Penjor,a8ea02c6-ca4b-4709-a1dd-a8240b66b026
