id,name,wikidata
british_columbia_(abbotsford),British Columbia (Abbotsford),Q2820842
quebec_(abitibi—baie-james—nunavik—eeyou),Quebec (Abitibi—Baie-James—Nunavik—Eeyou),Q2821651
quebec_(abitibi—témiscamingue),Quebec (Abitibi—Témiscamingue),Q2821652
new_brunswick_(acadie—bathurst),New Brunswick (Acadie—Bathurst),Q2822240
quebec_(ahuntsic),Quebec (Ahuntsic),Q773612
quebec_(ahuntsic-cartierville),Quebec (Ahuntsic-Cartierville),Q16826254
ontario_(ajax),Ontario (Ajax),Q16960528
ontario_(ajax—pickering),Ontario (Ajax—Pickering),Q2828853
quebec_(alfred-pellan),Quebec (Alfred-Pellan),Q2834924
ontario_(algoma—manitoulin—kapuskasing),Ontario (Algoma—Manitoulin—Kapuskasing),Q2835750
ontario_(ancaster—dundas—flamborough—westdale),Ontario (Ancaster—Dundas—Flamborough—Westdale),Q645153
quebec_(argenteuil—la_petite-nation),Quebec (Argenteuil—La Petite-Nation),Q16833613
quebec_(argenteuil—papineau—mirabel),Quebec (Argenteuil—Papineau—Mirabel),Q2860948
ontario_(aurora—oak_ridges—richmond_hill),Ontario (Aurora—Oak Ridges—Richmond Hill),Q16949447
newfoundland_and_labrador_(avalon),Newfoundland and Labrador (Avalon),Q2873260
quebec_(avignon—la_mitis—matane—matapédia),Quebec (Avignon—La Mitis—Matane—Matapédia),Q16836105
alberta_(banff—airdrie),Alberta (Banff—Airdrie),Q16837639
ontario_(barrie),Ontario (Barrie),Q2885615
ontario_(barrie—innisfil),Ontario (Barrie—Innisfil),Q16950434
ontario_(barrie—springwater—oro-medonte),Ontario (Barrie—Springwater—Oro-Medonte),Q16950439
quebec_(bas-richelieu—nicolet—bécancour),Quebec (Bas-Richelieu—Nicolet—Bécancour),Q2886296
alberta_(battle_river—crowfoot),Alberta (Battle River—Crowfoot),Q16950705
saskatchewan_(battlefords—lloydminster),Saskatchewan (Battlefords—Lloydminster),Q2891841
ontario_(bay_of_quinte),Ontario (Bay of Quinte),Q16950737
ontario_(beaches—east_york),Ontario (Beaches—East York),Q2892787
quebec_(beauce),Quebec (Beauce),Q2893126
quebec_(beauharnois—salaberry),Quebec (Beauharnois—Salaberry),Q2893177
