id,position,label,description,start_date,constituency,election,term,end_date,replaced_by
Q12472022,Q121998,ambassador,diplomatic envoy,"",,,,,
Q12499371,Q56057048,,"",2014-10-01,,"Indonesian legislative election, 2014",,,
Q12501020,Q56057048,,"",2014-10-01,,"Indonesian legislative election, 2014",,,
Q12521123,Q56057048,,"",2014-10-01,,"Indonesian legislative election, 2014",,,
Q17410811,Q56057048,,"",2014-10-01,,"Indonesian legislative election, 2014",,,
Q18421322,Q7433253,Leader of the House of Representatives,Wikimedia list article,"",,,,,
Q18978693,Q21328632,Member of the People's Representative Council of Indonesia,"",2014,,,,2019,
Q20426350,Q21328632,Member of the People's Representative Council of Indonesia,"","",,,,,
Q4250974,Q56057048,,"",2014-10-01,,"Indonesian legislative election, 2014",,,
Q4250974,Q57729161,Minister of Communication and Information,cabinet position in Indonesia,2009-10-22,,,,2014-10-27,
Q4262592,Q56057048,,"",2014-10-01,,"Indonesian legislative election, 2014",,2017-04-06,Abdul Wahab Dalimunthe
Q4838920,Q56057048,,"",2014-10-01,,"Indonesian legislative election, 2014",,,
Q49256793,Q56057048,,"",2014-10-01,,"Indonesian legislative election, 2014",,,
