statement,id,name,start_date,end_date,wikidata
Q50779378-efbb9fb2-437d-9ddd-75ac-08a7a018705e,39,39th House of Representatives,1990-02-18,1993-06-18,Q50779378
Q41893001-708501a8-4ffc-97bf-c507-217ad7329152,40,40th House of Representatives,1993-07-18,1996-09-27,Q41893001
Q41892855-22fa95c4-46e9-3857-2ea6-488fae3a2c42,41,41st House of Representatives,1996-10-20,2000-06-02,Q41892855
Q41892655-16e0498b-4b5f-d49d-e6f4-8d8d4eba7334,42,42nd House of Representatives,2000-06-25,2003-10-10,Q41892655
Q41892385-2c7d450a-4810-74a6-1cc2-f0103349ea33,43,43rd House of Representatives,2003-11-09,2005-08-08,Q41892385
Q41892049-04c0d1d0-4dba-8106-cada-c28c6c34bba0,44,44th House of Representatives,2005-09-11,2009-07-21,Q41892049
Q41806822-34a47c4a-42f9-34b4-645f-a3314a38a8cc,45,45th House of Representatives,2009-08-31,2012-11-16,Q41806822
Q41806816-44200ab9-4a32-1a01-eb51-ca34a9355626,46,46th House of Representatives,2012-12-16,2014-11-21,Q41806816
Q41654707-cd64d398-4081-3705-9710-fe274b54c202,47,47th House of Representatives,2014-12-14,2017-09-28,Q41654707
Q41655079-54aa5401-4603-29f8-6719-7dfcb511b3bf,48,48th House of Representatives,2017-11-01,"",Q41655079
