id,name,name__en,name__fr,name__nl,name__sl,wikipedia__fr,birth_date,gender,given_name,occupation,original_wikiname,name__es,name__de,wikipedia__en,family_name,website,facebook,identifier__SUDOC,identifier__VIAF,identifier__BNF,identifier__ISNI,name__ja,name__it,name__ru,twitter,linkedin
Q16194850,Jean-François Robillon,Jean-François Robillon,Jean-François Robillon,,Jean-François Robillon,Jean-François Robillon,1962-05-27,male,Jean-François,politician,,Jean-François Robillon,Jean-François Robillon,Jean-François Robillon,Robillon,,,,,,,,,,,
Q16204459,Laurent Nouvion,Laurent Nouvion,Laurent Nouvion,,Laurent Nouvion,Laurent Nouvion,1968-03-25,male,Laurent,politician,,,Laurent Nouvion,Laurent Nouvion,,,,,,,,,Laurent Nouvion,,,
Q17651814,Éric Elena,Éric Elena,Éric Elena,Eric Elena,Éric Elena,Éric Elena,1962-08-06,male,Éric,politician,,,,Eric Elena,,,,,,,,,Eric Elena,,,
Q20630486,Jean-Charles Allavena,Jean-Charles Allavena,Jean-Charles Allavena,Jean-Charles Allavena,Jean-Charles Allavena,Jean-Charles Allavena,1960-10-18,male,Jean-Charles,politician,,Jean-Charles Allavena,Jean-Charles Allavena,Jean-Charles Allavena,Allavena,,,,,,,,,,jc_allavena,
Q20774333,Thierry Poyet,Thierry Poyet,Thierry Poyet,Thierry Poyet,Thierry Poyet,Thierry Poyet,1965-03-25,male,Thierry,politician,,,,Thierry Poyet,Poyet,,,,,,,,,,,
Q25999626,Christophe Steiner,Christophe Steiner,Christophe Steiner,Christophe Steiner,Christophe Steiner,Christophe Steiner,1958-12-29,male,Christophe,politician,,Christophe Steiner,Christophe Steiner,Christophe Steiner,,,,,,,,,,,ChrisSteinerMC,
Q25999631,Jacques Rit,Jacques Rit,Jacques Rit,Jacques Rit,Jacques Rit,Jacques Rit,1949-07-19,male,Jacques,politician,,Jacques Rit,Jacques Rit,Jacques Rit,,,,,,,,,,,,
Q27554868,Sophie Lavagna,Sophie Lavagna,Sophie Lavagna,Sophie Lavagna,Sophie Lavagna,Sophie Lavagna,1965-07-22,female,Sophie,lawyer,,,,,,http://avocatlavagna.blogspot.fr/,,070967776,202026223,,0000 0004 3152 4376,,,,,
Q27554925,Philippe Clerissi,Philippe Clerissi,Philippe Clerissi,Philippe Clerissi,Philippe Clerissi,Philippe Clerissi,1953-07-10,male,Philippe,politician,,,,,,,,,,,,,,,,
Q27569261,Béatrice Fresko-Rolfo,Béatrice Fresko-Rolfo,Béatrice Fresko-Rolfo,Béatrice Fresko-Rolfo,Béatrice Fresko-Rolfo,Béatrice Fresko-Rolfo,1969-02-12,female,Béatrice,politician,,,,,,,,,,,,,,,,
Q27570638,Valérie Rossi,Valérie Rossi,Valérie Rossi,Valérie Rossi,Valérie Rossi,Valérie Rossi,1967-09-01,female,Valérie,politician,,,,,,,,,,,,,,,,
Q3166802,Jean-Louis Grinda,Jean-Louis Grinda,Jean-Louis Grinda,Jean-Louis Grinda,Jean-Louis Grinda,Jean-Louis Grinda,1960-01-25,male,Jean-Louis,theatre director,,,,Jean-Louis Grinda,,,,,,,,ジャン＝ルイ・グリンダ,,,,
Q3387048,Pierre Svara,Pierre Svara,Pierre Svara,Pierre Svara,Pierre Svara,Pierre Svara,1956-10-13,male,Pierre,politician,,,,,,,,,,,,,Pierre Svara,,,
Q41446132,Caroline Rougaignon-Vernin,Caroline Rougaignon-Vernin,Caroline Rougaignon-Vernin,,Caroline Rougaignon-Vernin,Caroline Rougaignon-Vernin,1969-04-21,female,Caroline,politician,,Caroline Rougaignon-Vernin,Caroline Rougaignon-Vernin,,Rougaignon,,,,,,,,,,,
Q41446633,Bernard Pasquier,Bernard Pasquier,Bernard Pasquier,,Bernard Pasquier,Bernard Pasquier,1954-02-04,male,Bernard,politician,,Bernard Pasquier,Bernard Pasquier,,,,,,,,,,,,,
Q41446929,Alain Ficini,Alain Ficini,Alain Ficini,,Alain Ficini,Alain Ficini,1950-02-04,male,Alain,politician,,Alain Ficini,Alain Ficini,,Ficini,,,,,,,,,,,
