id,uuid
hermans-stm-vvd,0240ebe6-9bf2-4512-b78f-453006e947c3
snels-baw-gl,0244b57c-b636-4909-81e7-b0cf8cef35a7
diks-li-gl,03a0bf4d-b500-4233-9ca3-b937aa4fe7de
ellemeet-ce-gl,04b178b0-806c-4eff-a51f-50ebebf697b1
becker-b-vvd,05491c63-36e9-48e3-8870-3049da34c189
weerdenburg-vdd-van-pvv,06d53861-5c16-468f-88c4-b3281355a878
koopmans-smg-vvd,0ce0225a-8597-4288-903b-484e865597d3
kent-b-van-sp,0dbddad2-2bee-4168-8e80-1aaa437ef5fa
geurts-jl-cda,11a45e94-b153-409a-9c95-54b04cdaf12a
smeulders-phm-gl,1974e9f0-c75b-4909-abca-d43c8ae93d4e
mulder-ah-cda,1c377985-9ac8-4c4b-bb18-a4b85d845040
middendorp-j-vvd,1d78b9b6-6387-49bd-b8a9-305fb40fa2b7
tellegen-oc-vvd,1fbe9709-ff76-4d6f-8627-acefadc6d3d3
kops-pvv,217c0d6a-32f2-4bc3-8fe5-51403a8081a1
hiddema-tu-fvd,21c80467-5c56-436f-a8c7-55372f1563b8
bosman-vvd,2203a1a1-6eb0-4fb0-9f20-72a42c0295bf
haersma-buma-s-van-cda,22e83d0b-7681-463e-9ce8-ae9ef8a50e31
kwint-jp-sp,23b7cdb4-67c6-432a-9913-c9f95d7ae385
kuik-cda,26afee6c-5142-4bdb-b47b-b1d9954ce225
aartsen-aa-vvd,2969b674-2563-4c63-9367-68207826b2d1
amhaouch-m-cda,29f008f9-aeaf-4a9c-b2be-1017d6dd85c6
dijk-gj-van-pvda,2b851676-0ba6-4662-9fbc-8b291cb73fe0
westerveld-em-gl,2c1456ae-e4ef-4c2a-8ff8-47aff381c774
ouwehand-e-pvdd,3018bdd9-05fc-4620-a5cd-93744477767e
groot-tc-de-d66,302128ce-c3cd-40aa-b1d8-824c8a44d37a
ojik-van-gl,31e415f5-fc6a-4a43-9a2c-a3edcb4cdab5
nijboer-h-pvda,31fc0386-74e4-4035-a937-a81f946e3578
wassenberg-fp-pvdd,3232f897-69d6-4483-9ea8-6d351624f9ef
weverling-vvd,38269a95-11f5-45ab-bf15-943f284b9b4a
kerstens-jwm-pvda,386ee624-7892-49e3-9d5d-4ef669e1e255
aalst-rr-van-pvv,38892ef2-999e-413b-aa93-7f8981f8bcaa
baudet-thp-fvd,3bcff7ed-6a7b-4b9f-b5e1-296a5f0c44bb
