id,name,position,start_date,end_date,type
d0338df4-6119-4348-8ec8-e2125be3c60f,Bård Vegar Solhjell,Minister of Education and Research,2007-10-18,2009-10-20,cabinet
d0338df4-6119-4348-8ec8-e2125be3c60f,Bård Vegar Solhjell,Minister of Climate and the Environment,2012-03-23,2013-10-16,cabinet
4995b31f-4631-4d58-b701-dd53e51c04e5,Per-Kristian Foss,Minister of Finance of Norway,2001-10-19,2005-10-17,cabinet
fe044985-8df3-407c-8125-8eb98b21aee5,Dag Jostein Fjærvoll,Minister of Defence,1997-10-17,1999-03-15,cabinet
fe044985-8df3-407c-8125-8eb98b21aee5,Dag Jostein Fjærvoll,Minister of Transport and Communications,1999-03-15,2000-03-17,cabinet
8517c488-0f69-44a9-a73f-06fcc559344b,Dag Terje Andersen,Minister of Labour and Social Inclusion,2008-06-20,2009-10-02,cabinet
8517c488-0f69-44a9-a73f-06fcc559344b,Dag Terje Andersen,Minister of Agriculture and Food (Norway),1996-10-25,1997-10-17,cabinet
8517c488-0f69-44a9-a73f-06fcc559344b,Dag Terje Andersen,Minister of Trade and Industry,2006-09-29,2008-06-20,cabinet
11aaee43-9d55-4fcc-b9ff-7fb40323dfa6,Ola Elvestuen,Minister of Climate and the Environment,2018-01-17,"",cabinet
02d85f85-6ffd-47dd-ac89-5c79acc3072c,Eivind Bolle,Minister of Fisheries,1973-10-16,1981-10-14,cabinet
8f1731cb-6d5a-4315-82ce-7b443a884d2a,Knut Storberget,Minister of Justice and Public Security,2005-10-17,2011-11-11,cabinet
95de0bf5-8844-4a0d-aa64-aecb72d058d4,Odd Einar Dørum,Minister of Justice and Public Security,1999-03-15,2000-03-17,cabinet
95de0bf5-8844-4a0d-aa64-aecb72d058d4,Odd Einar Dørum,Minister of Justice and Public Security,2001-10-19,2005-10-17,cabinet
95de0bf5-8844-4a0d-aa64-aecb72d058d4,Odd Einar Dørum,Minister of Transport and Communications,1997-10-17,1999-03-15,cabinet
e818bbd8-db23-4e68-ad01-809226cf6a84,Karl Eirik Schjøtt-Pedersen,Minister of Fisheries,1996-10-25,1997-10-17,cabinet
e818bbd8-db23-4e68-ad01-809226cf6a84,Karl Eirik Schjøtt-Pedersen,Minister of Finance of Norway,2000-03-17,2001-10-19,cabinet
35b18403-079e-4e0c-93aa-91bdb85d86d0,Gudmund Restad,Minister of Finance of Norway,1997-10-17,2000-03-17,cabinet
c7880253-6a08-4fd2-b00a-4a3b0ac9ec91,Jørgen Kosmo,Minister of Defence,1993-04-02,1997-10-17,cabinet
c7880253-6a08-4fd2-b00a-4a3b0ac9ec91,Jørgen Kosmo,"Minister of Government Administration, Reform and Church Affairs",2000-03-17,2001-10-05,cabinet
