name,id
Maher el-Hajjar,2086d4b4-3420-43c8-a096-5c91dcf123e7
Maher Hajjar,2086d4b4-3420-43c8-a096-5c91dcf123e7
Mohammad Jihad al-Laham,41af2f16-8b4b-4456-a06e-6da4f94d70f0
Muhammad Dschihad al-Lahham,41af2f16-8b4b-4456-a06e-6da4f94d70f0
Махер Абдель Хафиз Хаджар,2086d4b4-3420-43c8-a096-5c91dcf123e7
מוחמד ג'יהאד אל-לחאם,41af2f16-8b4b-4456-a06e-6da4f94d70f0
آل حسن بري,83affdff-5a95-4b84-bfe3-e1b42c069246
آل حسن بري,b31bbe62-2515-4fe1-a359-0df5e64f37c5
أحمد ابراهيم,3abbe716-433a-44ec-9439-3d21bf90c21b
أحمد الحسن الهلال,a316ffcd-f655-4efa-9a38-07841ac35836
أحمد الحميدي,44971339-2e95-47fd-949f-c15940cc36c0
أحمد العلي,1ffdb444-fb4f-43cd-b634-c7c584ce5568
أحمد العلي الحمرا,5e3b89e9-dd80-416f-984f-d4b9a3772138
أحمد العلي الحمرة,ce6ec413-2ebc-40d1-995c-1899b68a928a
أحمد الفرج,d0c1aec6-1a50-4dbf-9e09-cca352a7065c
أحمد المبارك,ed0d4bb4-7d61-4658-8fc6-2b9a1dd8ac76
أحمد المحمود الدرويش,7b6deeb6-46d5-4034-a465-ec2ddabc3ab2
أحمد الهلال,67277637-7fbd-4e39-8167-b5ad27c955fc
أحمد جريخ,956ef08a-33bc-4274-9f1a-2b8a82d8b80c
أحمد ديب قباني,ff8f817c-9f1e-42ce-8c3d-609b2dd14274
أحمد زيتون,7f7b2209-3e1f-423b-a7a0-74720c0c886d
أحمد قباني,df674de3-3dad-487d-ab5b-0578cacc4285
أحمد كزبري,7824efc8-ab80-49ef-b656-988e4e89013e
أحمد كزبري,e46f3272-1ac4-4f40-9db2-42d68a1363e8
أحمد مرعي,0e7fecf4-c7bc-483f-88e8-0f44908601bd
أحمد نور الدين شلاش,c5e01db3-98d9-4d0d-baa4-3b9c1dc802b7
أركان الشوفي,9a4275fb-0e4f-426e-9670-3d58780007b7
أركان نصر,d6f67645-9abe-4587-ac14-cbdff3ed5e15
أسامة مصطفى,110d7858-a41f-4398-9b54-f39981fc1d41
أسعد المحمد,75ff1eff-1830-49ff-8323-6bdf32f46f7a
أشواق عباس,7443b834-77ae-4f68-8928-55368fee78a4
أكرم خليل,e25128cc-0f82-400b-9967-f58a8d186f6e
أكرم هواش,9fa912f3-0b56-4fe6-a29c-ed7e717c64c9
أميرة الغانم,46e91eb0-2739-431e-adfe-db1d43d98e27
أميرة ستيفانو,c48736f5-1c48-4b66-a484-f8007af2a138
أميمة خضور,627c86fc-fbed-4597-b273-f63b411f4cd7
أنس زريع,28e7cd44-6f3a-4ac5-832c-fa1267f4ffc1
أيمن بلال,3ae3cac0-4d5c-4a3c-8880-4f966939c21a
أيمن حروق,b36e4f40-0f96-43c7-8065-af9b062029fd
أيمن ملندي,851bbd7b-bd69-45ed-9d6c-e998f7e4aaf1
أيمن ملندي,b2646612-e3ab-4494-a61a-133078a434a4
أيهم جريكوس,351b67dd-405d-4486-956f-4fd360d6626b
أيهم جريكوس,3a3e771e-ad62-4c57-bc88-1a8a1511caf9
إبراهيم الداير,3fc1e887-e588-4dcf-8530-f4ec8a4c1203
إسماعيل الحجو,128eb1ec-d9d3-4450-93b0-436f7c37b555
إلياس شاهين,cac681b7-452f-4d69-8b4f-a66d69c677e3
إلياس مراد,ad70c3fe-5747-4371-8698-170e635b9b51
إياد سليمان,79fcf90e-3bb4-44c0-85a9-e46202a84334
إيمان بابللي,063734f7-0b52-4a8d-955e-f4026dde2c07
إيناس الملوحي,70ae24d4-c918-4a22-8049-023ccaad3cb2
ابتسام الدبس,98ec487b-ec47-4d23-9381-c2674cdba5b8
ابراهيم الحاج محمد علي,1e9a9f58-39d7-48d8-82f2-187463616fe0
ابراهيم المحمود,28758190-1991-401e-b977-af6d7935e405
احمد ابراهيم,c4fc6d29-5b3d-4f2c-8c57-098f23b445d4
اسكندر جرادة,4fe99fe1-08c2-4260-ba3b-2fd05841968a
اسكندر حداد,6d9489fa-a05b-4f4a-a41b-7dec63760837
اسماعيل الحسن الربيع,ee3b6b44-a387-4c5b-8f53-609e243b3543
الان بكر,e9d71eb2-f40e-464a-9573-4e86203d68b0
باسل عيسى,465051f3-b064-43d8-b10c-a0dc8cc3b1c4
باسل عيسى,bbf8bca4-4290-4450-b7ec-17d8cc5251d1
باسم ابراهيم,1c84844f-0bc2-46f1-8e23-c722a9171a11
باسم سودان,94364151-d984-4e3f-9e48-d0282adb205c
بديع الحسين,cd270d86-3117-4544-84cc-99b9f853fa7e
بديع الدروبي,41009783-dc47-4bd1-b444-22e63a4e22e0
بديع الدروبي,44631b79-75d9-4f8e-a689-7030c8f8b775
بديع صقور,6256fd59-3208-4c47-b61b-32b54fd413b5
برهان العبد الوهاب,7f0f0d2a-b7b1-4047-bf72-89e0881b2bbf
برهان العبد الوهاب,cfe9fe46-b56d-4e51-9c14-d21c233ec435
بشار اليازجي,2d10ca70-4fdd-41f7-b447-13284f30250a
بشار جنيد,a4bc2f25-a71f-4245-9c3e-0f94f00fc89e
بشر يازجي,679072b1-5ffc-4b7e-bfd3-0d310c8548df
بطرس مرجانه,363e7159-4b98-4f3a-a1e4-248eb380e366
بطرس مرجانه,d3a5e5bf-a25b-49aa-8b38-40a4ef8af236
بلال ديب,be48de85-e633-49ee-9af9-fed35203b6a9
بندر الضيف,3729d08c-51f5-40e2-8169-3237c6e2a36b
تركي الزايد المصطفى,38f8b7e3-7609-4cab-af96-312ff95a41da
توفيق اسكندر,9c611df1-4c36-4dc9-aecf-a0d2ddcaeaf7
تيسير الجغيني,163f1c0c-8b1b-41ad-b473-f284baefdc10
جاسم البدر,3a5a63be-2e64-4737-8715-787e357c08a9
جانسيت قازان,a1848c18-cc99-4957-901e-7fdf888c6921
جرجس الشنور,c332991a-6435-47bc-85d8-90474e2df182
جمال الدين عبدو,6314f711-1b58-45ce-b03b-162b1ecf59e0
جمال الزعبي,5f259c99-f7f1-4ad7-b85d-f9776b98406a
جمال القادري,433a024e-29ea-43e5-a048-bd1e751008ab
جمال حساني,c4d52e02-5dbe-4aec-9284-7dc6e06bbff8
جمال رابعة,44a5ac53-212d-4c35-b1e7-301abb4dffb8
جمال رابعة,80c9c501-115c-4b97-8517-c2d2bd338990
جمال قادري,82844751-68f9-4ef5-92d7-a1b4a28adac1
جمال مصطو,c9530a7b-fd88-4b73-abc6-cdb2d00fc347
جمال يوسف,ee3f17e5-0702-42e5-801c-df78c4d739de
جمانة أبو شعر,79d49c55-395b-49c5-8464-d12ac9dc9e4e
جميل الجبه جي,7ca26f71-7b21-401d-aa60-e25cea9573d4
جهاد الشخير,07e27307-1e01-4e63-8e8e-be701e060d7d
جورج نخلة,be3b7d90-0355-431d-839e-bb1ea1e06f86
جورجينا رزق,691cd784-9c1f-42cf-9b8c-814f979f374a
جورجينا رزق,d8d92e92-3b46-4e53-a52c-05fe821577f8
جيراير رائيسيان,97c686da-d7fb-4f16-88f4-5718a6b32836
حامد ابراهيم,c6256791-eaba-4545-898a-3385e74576a4
حامد الجاسم,841f7215-9df8-4531-b6eb-48e71e1a2a48
حامد حسن,c122dc50-2b93-4046-91b9-24496c804624
حسام قاطرجي,625b6cd5-0172-4f65-819c-4dc52f425e79
حسن المسلط,ffa8fc8f-a578-4f1b-bb1d-0bb0e2baaa94
حسن خللو,7727c77e-82a4-4999-8778-1e7ad7bc57be
حسن سلومي,3877a832-1956-4831-89b8-c8674a3677f7
حسن شهيد,8f341ab2-797a-465e-af7d-de390015904f
حسيب طحان,ff943ac9-cba6-46d8-b80b-1ff7df0f7131
