id,uuid
attilio_nicora,0b2612a9-022d-4f6e-b906-193cbdd1d3ee
antonio_maria_vegliò,40a28152-5aa9-41ce-9b01-e551a8e6e0b6
leonardo_sandri,47b455df-d704-4848-b84e-5ea95410adf9
domenico_calcagno,93d2a9b7-9c75-4291-94f8-5b2637a5d846
jean-louis_tauran,a0313d16-3ae5-47ed-a4ef-4635d8f3bf43
giuseppe_bertello,c9350a27-551e-4bb0-b7a6-913b539e0536
beniamino_stella,c6614c64-c1ad-4bd3-a751-6e6e1aa9a81c
Q517279,37d50b14-e8c8-44f7-9092-ee210f1d4a3f
Q817288,66578a9f-2553-4769-b303-3b6f87fd334a
Q654613,7c688e26-74fc-4c1f-8150-6db0a3bbfb6d
Q543260,a87151ac-b08e-4067-99a7-8cad326111bb
Q450310,e8f7988d-7e43-4062-bc15-8a6997db83d0
Q458202,8c39a8f4-1c01-46e4-a0b2-d8690d1451b6
