id,name,sort_name,email,twitter,facebook,group,group_id,area_id,area,chamber,term,start_date,end_date,image,gender,wikidata,wikidata_group,wikidata_area
f1a2fce3-4d71-4b3f-8a36-325cec483dbe,Ben Smith,Ben Smith,,,,Independent,Independent,Constituency 31,Southampton West Central,Parliament,2017,,,,,,,
8628a3ae-6056-4505-a174-159651f4b204,Christopher Famous,Christopher Famous,,,,Independent,Independent,Constituency 11,Devonshire East,Parliament,2017,,,,,,,
84db7709-e789-477e-b284-f495bfb4f17a,Craig Cannonier,Craig Cannonier,,,,Independent,Independent,Constituency 12,Devonshire South Central,Parliament,2017,,,,,,,
279bdb4f-43a6-4200-8704-448f6f33db80,Curtis L. Dickinson,Curtis L. Dickinson,,,,Independent,Independent,Constituency 25,Warwick North East,Parliament,2017,,,,,,,
38f4683f-5c09-4ce3-b3b6-fe92ef6454af,David Burch,David Burch,,,,Independent,Independent,Constituency 27,Warwick North Central,Parliament,2017,,,,,,,
6e8fac9e-9c4d-4d46-b51e-f70ef8ed3da1,David Burt,David Burt,,,,Independent,Independent,Constituency 18,Pembroke West Central,Parliament,2017,,,,,,,
10361f78-1098-4063-b3c3-21779df65908,Dennis Lister,Dennis Lister,,,,Independent,Independent,Constituency 35,Sandys North Central,Parliament,2017,,,,,,,
5f845546-e1e2-4dc1-810c-40bde2f9a4d3,Dennis Lister III,Dennis Lister III,,,,Independent,Independent,Constituency 28,Warwick West,Parliament,2017,,,,,,,
bb175cea-e042-43e8-b04b-e437d7414419,Derrick Burgess,Derrick Burgess,,,,Independent,Independent,Constituency 5,Hamilton East,Parliament,2017,,,,,,,
bdde490f-d689-4ae4-92a5-1b37b4d015f9,Diallo Rabain,Diallo Rabain,,,,Independent,Independent,Constituency 13,Devonshire North Central,Parliament,2017,,,,,,,
2d2b05d8-71c2-4298-bcec-de6094ab4951,Jamahl Simmons,Jamahl Simmons,,,,Independent,Independent,Constituency 33,Sandys South,Parliament,2017,,,,,,,
f3459b13-6f14-425e-8072-cc815fb2b1af,Jeanne Atherden,Jeanne Atherden,,,,Independent,Independent,Constituency 19,Pembroke West,Parliament,2017,,,,,,,
bb01efdd-2ce4-493c-a524-1bd5be0edacf,Kim Swan,Kim Swan,,,,Independent,Independent,Constituency 2,St. George's West,Parliament,2017,,,,,,,
485b9e76-7b62-4163-8af8-e6fd8f3907c2,Kim Wilson,Kim Wilson,,,,Independent,Independent,Constituency 34,Sandys South Central,Parliament,2017,,,,,,,
075b99a9-300c-4374-bad8-30b0ace240fb,Lawrence Scott,Lawrence Scott,,,,Independent,Independent,Constituency 24,Warwick South East,Parliament,2017,,,,,,,
5710771f-0acb-4871-b63c-827270c22b4d,Leah Scott,Leah Scott,,,,Independent,Independent,Constituency 30,Southampton East Central,Parliament,2017,,,,,,,
9b3a13e0-3e6d-4205-b62d-88f27c864673,Lovitta Foggo,Lovitta Foggo,,,,Independent,Independent,Constituency 3,St. David's,Parliament,2017,,,,,,,
707906a8-90ec-4432-afa9-32e8512a8ca7,Michael Dunkley,Michael Dunkley,,,,Independent,Independent,Constituency 10,Smiths North,Parliament,2017,,,,,,,
78874d6e-1724-45c9-b0ad-2c4d1ebd37f2,Michael Scott,Michael Scott,,,,Independent,Independent,Constituency 36,Sandys North,Parliament,2017,,,,,,,
6be9bc27-99f7-4cdf-b087-dfe63c645fb9,Michael Weeks,Michael Weeks,,,,Independent,Independent,Constituency 16,Pembroke East Central,Parliament,2017,,,,,,,
cb1e3557-c0e8-43fc-b38d-d3981f8b5328,N. Cole Simons,N. Cole Simons,,,,Independent,Independent,Constituency 8,Smiths South,Parliament,2017,,,,,,,
63e81268-d3a1-4994-a4ec-b1fd0a642a39,Neville Tyrrell,Neville Tyrrell,,,,Independent,Independent,Constituency 26,Warwick South Central,Parliament,2017,,,,,,,
