id,name,sort_name,email,twitter,facebook,group,group_id,area_id,area,term,start_date,image,gender,wikidata,wikidata_group,wikidata_area
f21c9a2c-3b92-4ae8-ac06-40abc77d9208,Ben Smith,Ben Smith,,,,Independent,Independent,Constituency 31,Southampton West Central,2017,2017-07-17,,,,,
d3eeefbc-0938-4a42-9d53-41cf24f98c0a,Christopher Famous,Christopher Famous,,,,Independent,Independent,Constituency 11,Devonshire East,2017,2017-07-17,,,,,
ed4e33e7-2e68-4fff-9906-a658390937e4,Craig Cannonier,Craig Cannonier,,,,Independent,Independent,Constituency 12,Devonshire South Central,2017,2017-07-17,,,,,
34dcf3c2-5ed0-4b55-950b-672e65b56e80,Curtis L. Dickinson,Curtis L. Dickinson,,,,Independent,Independent,Constituency 25,Warwick North East,2017,2017-07-17,,,,,
edce90de-f99a-4f0a-84e7-8a591df01c65,David Burch,David Burch,,,,Independent,Independent,Constituency 27,Warwick North Central,2017,2017-07-17,,,,,
256ab971-f604-4d89-987c-9a59a58e3cae,David Burt,David Burt,,,,Independent,Independent,Constituency 18,Pembroke West Central,2017,2017-07-17,,,,,
3d079600-e8b1-42c7-a3eb-2780a14b721a,Dennis Lister,Dennis Lister,,,,Independent,Independent,Constituency 35,Sandys North Central,2017,2017-07-17,,,,,
273cf15e-8350-44bb-975c-fb9b6bd4c3e0,Dennis Lister III,Dennis Lister III,,,,Independent,Independent,Constituency 28,Warwick West,2017,2017-07-17,,,,,
6ae04233-6e03-43f0-ba88-90a52b4be965,Derrick Burgess,Derrick Burgess,,,,Independent,Independent,Constituency 5,Hamilton East,2017,2017-07-17,,,,,
011e015a-03a2-4c9a-8e99-fa998f73bcc3,Diallo Rabain,Diallo Rabain,,,,Independent,Independent,Constituency 13,Devonshire North Central,2017,2017-07-17,,,,,
4cfb680d-b554-4b03-93ab-a61bb9972b6f,Jamahl Simmons,Jamahl Simmons,,,,Independent,Independent,Constituency 33,Sandys South,2017,2017-07-17,,,,,
6bfea3a8-94a1-4316-99fd-86fd0e1ee71c,Jeanne Atherden,Jeanne Atherden,,,,Independent,Independent,Constituency 19,Pembroke West,2017,2017-07-17,,,,,
9bb6fdfa-b319-42f9-985a-dff7d793c7aa,Kim Swan,Kim Swan,,,,Independent,Independent,Constituency 2,St. George's West,2017,2017-07-17,,,,,
7c0b23f2-bd1b-4815-8a62-63a61367741a,Kim Wilson,Kim Wilson,,,,Independent,Independent,Constituency 34,Sandys South Central,2017,2017-07-17,,,,,
dcaef7bd-52ff-4847-8623-4daae10b255e,Lawrence Scott,Lawrence Scott,,,,Independent,Independent,Constituency 24,Warwick South East,2017,2017-07-17,,,,,
ed488be7-81e2-4248-89b3-303735ef737f,Leah Scott,Leah Scott,,,,Independent,Independent,Constituency 30,Southampton East Central,2017,2017-07-17,,,,,
f9231df6-9dcd-4b0c-9260-59af7351360a,Lovitta Foggo,Lovitta Foggo,,,,Independent,Independent,Constituency 3,St. David's,2017,2017-07-17,,,,,
7a190393-def8-4c06-9b4a-3220a094df3b,Michael Dunkley,Michael Dunkley,,,,Independent,Independent,Constituency 10,Smiths North,2017,2017-07-17,,,,,
c9724848-0e4b-45ca-b065-52c2f6296c2c,Michael Scott,Michael Scott,,,,Independent,Independent,Constituency 36,Sandys North,2017,2017-07-17,,,,,
00cfccf7-846e-458b-8637-3b4675b9a5fb,Michael Weeks,Michael Weeks,,,,Independent,Independent,Constituency 16,Pembroke East Central,2017,2017-07-17,,,,,
9bc2b8d3-a470-41b3-8a2c-6d39a2802e2d,N. Cole Simons,N. Cole Simons,,,,Independent,Independent,Constituency 8,Smiths South,2017,2017-07-17,,,,,
caba5015-22e9-4038-af8b-06d8afd010ef,Neville Tyrrell,Neville Tyrrell,,,,Independent,Independent,Constituency 26,Warwick South Central,2017,2017-07-17,,,,,
bebcb4d8-0aca-4c94-bae2-c77af8ab5bb4,Patricia Gordon Pamplin,Patricia Gordon Pamplin,,,,Independent,Independent,Constituency 23,Paget West,2017,2017-07-17,,,,,
934b1417-550d-4757-98ab-38e779d9b04e,Renee Ming,Renee Ming,,,,Independent,Independent,Constituency 1,St. George's North,2017,2017-07-17,,,,,
c92f721b-79d7-425a-a8cc-72ae54263423,Rolfe Commissiong,Rolfe Commissiong,,,,Independent,Independent,Constituency 21,Pembroke South East,2017,2017-07-17,,,,,
3c651aa1-b458-4daf-98a5-e262f9c8f4dc,Scott Pearman,Scott Pearman,,,,Independent,Independent,Constituency 22,Paget East,2017,2017-07-17,,,,,
ce5eb80f-26de-4678-9937-4dbe2af4e7f1,Scott Simmons,Scott Simmons,,,,PLP,98db65dd-b138-4fbe-a689-35a5eb826c88,Constituency 32,Southampton West,2017,2017-07-17,,,,Q1565799,
d5b2a6c4-9010-4655-87d1-de1f7ba9b5ea,Susan Jackson,Susan Jackson,,,,Independent,Independent,Constituency 20,Pembroke South West,2017,2017-07-17,,,,,
c61cf894-215c-4402-90ac-9867b68e4706,Sylvan Richards Jr.,Sylvan Richards Jr.,,,,Independent,Independent,Constituency 7,Hamilton South,2017,2017-07-17,,,,,
990e4c03-d1bb-45b3-999d-390b8f0639fa,Tinee Furbert,Tinee Furbert,,,,Independent,Independent,Constituency 4,St. George's South,2017,2017-07-17,,,,,
f3d1726d-5dfd-436b-9c17-3b8bbcbc4dc1,Trevor Moniz,Trevor Moniz,,,,Independent,Independent,Constituency 9,Smiths West,2017,2017-07-17,,,,,
351a0f04-556e-4872-8f08-1a7ceba4b4f0,Walter Roban,Walter Roban,,,,Independent,Independent,Constituency 15,Pembroke East,2017,2017-07-17,,,,,
89dcd5ed-d54c-4f5f-8ad4-33ae13cd5fc4,Walton Brown,Walton Brown,,,,Independent,Independent,Constituency 17,Pembroke Central,2017,2017-07-17,,,,,
f407cf74-9b95-4895-8d32-18fa32db2403,Wayne Caines,Wayne Caines,,,,Independent,Independent,Constituency 14,Devonshire North West,2017,2017-07-17,,,,,
2fd1c710-411e-4337-9cf6-0e546fd00ce4,Wayne Furbert,Wayne Furbert,,,,Independent,Independent,Constituency 6,Hamilton West,2017,2017-07-17,,,,,
5885de7f-1aee-40fd-8298-e115574065eb,Zane De Silva,Zane De Silva,,,,Independent,Independent,Constituency 29,Southampton East,2017,2017-07-17,,,,,
