id,name,sort_name,email,twitter,facebook,group,group_id,area_id,area,chamber,term,start_date,end_date,image,gender,wikidata,wikidata_group,wikidata_area
f925cefe-0809-4141-a14e-24708c51529b,Abel Məhərrəmov,Abel Məhərrəmov,,,,Yeni Azərbaycan Partiyası,YAP,16,Yasamal ikinci seçki dairəsi,National Assembly,4,,,,male,Q12835357,Q876402,
23c8c36d-8355-4f76-8bbc-2f74965f6a98,Adil Əliyev,Adil Əliyev,,,,Independent,IND,20,Nərimanov ikinci seçki dairəsi,National Assembly,4,,,,,,Q327591,
75e728ea-0c06-4a5d-b4aa-ab262b93ee10,Aqil Abbas,Aqil Abbas,,,,Independent,IND,83,Ağcabədi-Füzuli seçki dairəsi,National Assembly,4,,,,male,Q4054391,Q327591,
590cb4b1-5bd1-4b55-b167-e7a92bb802b2,Aqiyə Naxçıvanlı,Aqiyə Naxçıvanlı,,,,Yeni Azərbaycan Partiyası,YAP,117,Oğuz-Qəbələ seçki dairəsi,National Assembly,4,,,,female,Q19713062,Q876402,
552ea92d-8b82-42bc-8b35-11754a4d44e1,Arif Alışanov,Arif Alışanov,,,,Independent,IND,45,Abşeron seçki dairəsi,National Assembly,4,,,https://upload.wikimedia.org/wikipedia/commons/e/e4/Arif_Alishanov_comm.jpg,male,Q16364594,Q327591,
199aa79d-dc39-4383-b2fb-1227c46240e8,Arif Rəhimzadə,Arif Rəhimzadə,,,,Yeni Azərbaycan Partiyası,YAP,61,Neftçala seçki dairəsi,National Assembly,4,,,,male,Q16364619,Q876402,
3550785a-8d77-4b2b-aa71-05b359575a72,Arif Əşrəfov,Arif Əşrəfov,,,,Yeni Azərbaycan Partiyası,YAP,55,Xaçmaz şəhər seçki dairəsi,National Assembly,4,,,,,,Q876402,
adc38be9-f3d6-40d9-b9f2-ed10de511c5b,Asim Mollazadə,Asim Mollazadə,,,,Azərbaycan Demokratik İslahatlar Partiyası,DİP,22,Nəsimi ikinci seçki dairəsi,National Assembly,4,,,https://upload.wikimedia.org/wikipedia/commons/5/5f/Asim_Mollazadə_Polşa_Senatında.JPG,male,Q4300474,Q289893,
6454ddfb-18c6-4e20-aad5-3913d99010b2,Aslan Cəfərov,Aslan Cəfərov,,,,Yeni Azərbaycan Partiyası,YAP,77,Astara seçki dairəsi,National Assembly,4,,,,male,Q20556703,Q876402,
0840a1b4-e602-4cf0-a865-6a367919ce62,Astan Şahverdiyev,Astan Şahverdiyev,,,,Yeni Azərbaycan Partiyası,YAP,120,Cəbrayıl-Qubadlı seçki dairəsi,National Assembly,4,,,,,,Q876402,
d4457cea-171e-4815-9eec-ecbc8e4b78a9,Asəf Hacıyev,Asəf Hacıyev,,,,Yeni Azərbaycan Partiyası,YAP,38,Nizami ikinci (Gəncə) seçki dairəsi,National Assembly,4,,,,male,Q12836122,Q876402,
cccfe9f1-f56e-4a84-8f5c-bcbc635aa8ad,Ayaz Orucov,Ayaz Orucov,,,,Yeni Azərbaycan Partiyası,YAP,81,Beyləqan seçki dairəsi,National Assembly,4,,,,male,Q19713195,Q876402,
75adc0fa-9788-4c8a-b72d-19afd1d14c93,Aydın Abbasov,Aydın Abbasov,,,,Independent,IND,37,Nizami birinci (Gəncə) seçki dairəsi,National Assembly,4,,,https://upload.wikimedia.org/wikipedia/commons/1/17/Aydın_Abbasov.jpg,male,Q4054393,Q327591,
a752385a-e71c-472e-babf-4ebfec25f265,Aydın Mirzəzadə,Aydın Mirzəzadə,,,,Yeni Azərbaycan Partiyası,YAP,47,Mingəçevir seçki dairəsi,National Assembly,4,,,,male,Q2047294,Q876402,
