id,name,sort_name,email,twitter,facebook,group,group_id,area_id,area,term,start_date,image,gender,wikidata,wikidata_group,wikidata_area
df615f5e-ab4e-44e4-aeeb-887e5994916a,Abbas Sınay,"Sınay, Abbas",,,,Republican Turkish Party,republican_turkish_party,girne,Girne,14,2013-08-12,https://cdn.rawgit.com/wfdd/nc-assembly-scraper/master/photos/abbas-sinay.jpg,male,,Q731357,
352bfc03-0adb-439a-a962-5f9b46c7d8f4,Ahmet Gülle,"Gülle, Ahmet",,,,Republican Turkish Party,republican_turkish_party,lefkoşa,Lefkoşa,14,2013-08-12,https://cdn.rawgit.com/wfdd/nc-assembly-scraper/master/photos/ahmet-gulle.jpg,male,,Q731357,
e5139463-422f-48e3-a28b-8f99f3861c68,Ahmet Kaşif,"Kaşif, Ahmet",,,,Democratic Party,democratic_party,gazimağusa,Gazimağusa,14,2013-08-12,https://cdn.rawgit.com/wfdd/nc-assembly-scraper/master/photos/ahmet-kasif.jpg,male,Q4696177,Q833597,
cb07e876-aded-41c9-80a6-184afd933fc3,Ali Pilli,"Pilli, Ali",,,,National Unity Party,national_unity_party,güzelyurt,Güzelyurt,14,2013-08-12,https://cdn.rawgit.com/wfdd/nc-assembly-scraper/master/photos/ali-pilli.jpg,male,,Q731357,
71216f7f-89ea-4f10-98c4-9e1ade12b1b4,Arif Albayrak,"Albayrak, Arif",,,,Republican Turkish Party,republican_turkish_party,gazimağusa,Gazimağusa,14,2013-08-12,https://cdn.rawgit.com/wfdd/nc-assembly-scraper/master/photos/arif-albayrak.jpg,male,,Q731357,
68443233-3d6c-4467-84a3-1de859c5480a,Armağan Candan,"Candan, Armağan",,,,Republican Turkish Party,republican_turkish_party,güzelyurt,Güzelyurt,14,2013-08-12,https://cdn.rawgit.com/wfdd/nc-assembly-scraper/master/photos/armagan-candan.jpg,male,,Q731357,
4c404f8d-8a14-4432-8270-6afc80a26c27,Asım Akansoy,"Akansoy, Asım",,,,Republican Turkish Party,republican_turkish_party,gazimağusa,Gazimağusa,14,2013-08-12,https://cdn.rawgit.com/wfdd/nc-assembly-scraper/master/photos/asim-akansoy.jpg,male,,Q731357,
4e4a18e6-165d-4c32-ab44-2664ba15c8ce,Biray Hamzaoğlu,"Hamzaoğulları, Biray",,,,Republican Turkish Party,republican_turkish_party,i̇skele,İskele,14,2013-08-12,https://cdn.rawgit.com/wfdd/nc-assembly-scraper/master/photos/biray-hamzaogullari.jpg,male,,Q731357,
90534c80-11e2-4daa-bed2-a8b33e8e9e3b,Birikim Özgür,Birikim Özgür,,,,Republican Turkish Party,republican_turkish_party,lefkoşa,Lefkoşa,14,2013-08-12,,,,Q731357,
70ecdab0-7723-4cda-89be-34d3b0a61cd0,Doğuş Derya,"Derya, Doğuş",,,,Republican Turkish Party,republican_turkish_party,lefkoşa,Lefkoşa,14,2013-08-12,https://cdn.rawgit.com/wfdd/nc-assembly-scraper/master/photos/dogus-derya.jpg,female,Q20090577,Q731357,
