id,name,sort_name,email,twitter,facebook,group,group_id,area_id,area,term,start_date,image,gender,wikidata,wikidata_group,wikidata_area
94c10c93-b372-4f56-998b-f5a6da94d894,Adriana González,"González , Adriana",rchiazzaro@parlamento.gub.uy,,,PARTIDO FRENTE AMPLIO,partido_frente_amplio,montevideo,MONTEVIDEO,48,2015-02-15,https://parlamento.gub.uy/sites/default/files/styles/avatar_126x148/public/default_images/default-avatar_1_0.png,,,Q1066799,
ccd79ba5-7e87-4f1f-9901-d091953f4113,Adrián Peña,"Peña , Adrián",apena@parlamento.gub.uy,,,PARTIDO COLORADO,partido_colorado,canelones,CANELONES,48,2015-02-15,https://parlamento.gub.uy/sites/default/files/styles/avatar_126x148/public/avatars/AdrianPena141118.jpg,male,,Q1430823,
e07e22bd-196a-445c-8fc8-cac1f6748e41,Alba Delia Igarzábal Pérez,"Igarzábal Pérez , Alba Delia",mtierno@parlamento.gub.uy,,,PARTIDO FRENTE AMPLIO,partido_frente_amplio,durazno,DURAZNO,48,2015-02-15,https://parlamento.gub.uy/sites/default/files/styles/avatar_126x148/public/avatars/Fot11653_0.JPG,,,Q1066799,
5f7c77bc-acb5-4181-9a8e-6627632467e5,Alberto Perdomo Gamarra,"Perdomo Gamarra , Alberto",aperdomo@parlamento.gub.uy,,,PARTIDO NACIONAL,partido_nacional,canelones,CANELONES,48,2015-02-15,https://parlamento.gub.uy/sites/default/files/styles/avatar_126x148/public/avatars/Fot05166_1.JPG,male,Q5688201,Q1549793,
63654691-7db6-4f36-934f-e7d2e59ab020,Alejandro López De Haro,"López De Haro , Alejandro",wezquerra@parlamento.gub.uy,,,PARTIDO NACIONAL,partido_nacional,tacuarembo,TACUAREMBO,48,2015-02-15,https://parlamento.gub.uy/sites/default/files/styles/avatar_126x148/public/default_images/default-avatar_1_0.png,,,Q1549793,
1580aafa-f81c-4449-8351-f09eb87846d9,Alejandro Sánchez,"Sánchez , Alejandro",asanchez@parlamento.gub.uy,,,PARTIDO FRENTE AMPLIO,partido_frente_amplio,montevideo,MONTEVIDEO,48,2015-02-15,https://parlamento.gub.uy/sites/default/files/styles/avatar_126x148/public/avatars/Fot09907_0.JPG,male,Q5665525,Q1066799,
a6644a64-db09-411f-8630-0ba8431ece48,Alfredo Asti,"Asti , Alfredo",aasti@parlamento.gub.uy,,,PARTIDO FRENTE AMPLIO,partido_frente_amplio,montevideo,MONTEVIDEO,48,2015-02-15,https://parlamento.gub.uy/sites/default/files/styles/avatar_126x148/public/avatars/ASTI_Foto.jpg,male,,Q1066799,
96bb1038-b0f6-47cd-8a54-b32c39fb9c5f,Alvaro Delgado,Alvaro Delgado,adelgado@parlamento.gub.uy,adelgado404,alvarodelgadoc,PARTIDO NACIONAL,partido_nacional,montevideo,MONTEVIDEO,48,2015-02-15,http://www.parlamento.gub.uy/htmlstat/pl/legisl/fotos/Fot03948.jpg,male,Q26727956,Q1549793,
7e39641c-d552-43b0-be3e-c24ebd886709,Amín Niffouri Blanco,"Niffouri Blanco , Amín",aniffouri@parlamento.gub.uy,,,PARTIDO NACIONAL,partido_nacional,canelones,CANELONES,48,2015-02-15,https://parlamento.gub.uy/sites/default/files/styles/avatar_126x148/public/avatars/Fot09896_0.JPG,male,Q30904782,Q1549793,
b48a5cbc-4a6f-48d3-a197-f31f016048a6,Andrés Carrasco Briozzo,"Carrasco Briozzo , Andrés",andres.carrasco@parlamento.gub.uy,,,PARTIDO INDEPENDIENTE,partido_independiente,maldonado,MALDONADO,48,2015-02-15,https://parlamento.gub.uy/sites/default/files/styles/avatar_126x148/public/avatars/Fot11819_1.JPG,,,Q1624802,
